ANO;MÊS;DIA;HORA;360MIN;180MIN;CANAL;qtd_ENTs;TMC;TME
2021;4;19;15;Q2;QQ3;PORTAL;3;246,67;9692
2021;4;20;8;Q1;QQ1;PORTAL;6;5696,5;45911,17
2021;4;20;11;Q1;QQ2;PORTAL;12;905,17;23769,75
2021;4;20;14;Q2;QQ3;PORTAL;6;86639,17;6659,33
2021;4;21;13;Q1;QQ2;PORTAL;1;341;67203
2021;4;22;9;Q1;QQ1;PORTAL;2;127,5;84649
2021;4;22;12;Q1;QQ2;PORTAL;3;235031;5888,33
2021;4;23;8;Q1;QQ1;PORTAL;9;793;44122,78
2021;4;23;11;Q1;QQ2;PORTAL;3;266,67;403
2021;4;27;7;Q1;QQ1;PORTAL;8;493,25;61857
2021;5;6;18;Q2;QQ4;PORTAL;11;220730,09;11692,64
2021;5;6;21;NULL;NULL;PORTAL;11;13892;8941,55
2021;5;7;17;Q2;QQ4;PORTAL;4;88966;6599,75
2021;5;7;23;NULL;NULL;PORTAL;7;140119;31771,57
2021;5;10;17;Q2;QQ4;PORTAL;1;19;11780
2021;5;11;13;Q1;QQ2;PORTAL;6;55;7040,67
2021;5;12;12;Q1;QQ2;PORTAL;2;1284,5;1912,5
2021;5;12;18;Q2;QQ4;PORTAL;8;129475,38;13701,25
2021;5;13;11;Q1;QQ2;PORTAL;8;235,38;751,88
2021;5;13;14;Q2;QQ3;PORTAL;5;617;55937,6
2021;5;14;10;Q1;QQ1;PORTAL;2;108,5;1093,5
2021;5;14;13;Q1;QQ2;PORTAL;4;356;1839,25
2021;5;16;14;Q2;QQ3;PORTAL;1;20;157732
2021;5;17;7;Q1;QQ1;PORTAL;3;97,67;473,33
2021;5;18;9;Q1;QQ1;PORTAL;7;58162;90286,57
2021;5;18;12;Q1;QQ2;PORTAL;6;136,67;1479
2021;5;19;8;Q1;QQ1;PORTAL;1;30;40145
2021;5;19;14;Q2;QQ3;PORTAL;1;3521;10
2021;5;20;7;Q1;QQ1;PORTAL;12;248,5;34897,5
2021;5;20;10;Q1;QQ1;PORTAL;1;44;81612
2021;5;20;13;Q1;QQ2;PORTAL;5;14380,6;69860,4
2021;5;21;6;NULL;NULL;PORTAL;6;201;95831,67
2021;5;21;9;Q1;QQ1;PORTAL;11;92273,18;169121,18
2021;5;21;12;Q1;QQ2;PORTAL;2;55709,5;129739
2021;5;22;2;NULL;NULL;PORTAL;21;21997,81;77020,9
2021;5;24;6;NULL;NULL;PORTAL;1;40;336008
2021;5;25;8;Q1;QQ1;PORTAL;2;93,5;31952
2021;6;7;16;Q2;QQ3;PORTAL;12;117660,42;8617,83
2021;6;8;18;Q2;QQ4;PORTAL;3;178118,67;11579
2021;6;10;13;Q1;QQ2;PORTAL;31;11829,65;12315,74
2021;6;10;19;Q2;QQ4;PORTAL;1;300;600
2021;6;11;12;Q1;QQ2;PORTAL;2;24,5;997,5
2021;6;11;15;Q2;QQ3;PORTAL;1;16;439
2021;6;11;18;Q2;QQ4;PORTAL;9;48,89;7605,33
2021;6;13;16;Q2;QQ3;PORTAL;2;81,5;81466,5
2021;6;14;9;Q1;QQ1;PORTAL;2;3648;115103,5
2021;6;14;12;Q1;QQ2;PORTAL;3;189,67;192176,67
2021;6;15;8;Q1;QQ1;PORTAL;3;259,33;402,33
2021;6;15;11;Q1;QQ2;PORTAL;6;578,67;77976,83
2021;6;15;14;Q2;QQ3;PORTAL;5;128,4;4335,6
2021;6;16;7;Q1;QQ1;PORTAL;8;38156,13;60180,38
2021;6;16;10;Q1;QQ1;PORTAL;5;282,2;5117,2
2021;6;16;13;Q1;QQ2;PORTAL;2;40,5;207,5
2021;6;16;16;Q2;QQ3;PORTAL;8;31415,38;30279,5
2021;6;17;12;Q1;QQ2;PORTAL;16;22204,25;1626,5
2021;6;17;15;Q2;QQ3;PORTAL;3;224,33;1801,33
2021;6;18;8;Q1;QQ1;PORTAL;2;101162;79176
2021;6;18;11;Q1;QQ2;PORTAL;13;314,69;4085,69
2021;6;18;14;Q2;QQ3;PORTAL;1;44;17190
2021;6;19;13;Q1;QQ2;PORTAL;6;61418,33;59503,5
2021;6;21;8;Q1;QQ1;PORTAL;1;300;600
2021;6;21;11;Q1;QQ2;PORTAL;9;292,89;28357,11
2021;6;22;7;Q1;QQ1;PORTAL;3;459,67;31504,67
2021;6;22;10;Q1;QQ1;PORTAL;12;60485,67;14294,67
2021;7;6;16;Q2;QQ3;PORTAL;4;84051,75;8121,5
2021;7;6;19;Q2;QQ4;PORTAL;1;309;4
